layer,IL_MCC,cgF1,IoU,pmF1
17,-0.3030,0.2234,0.1915,0.2000
18,-0.4082,0.2163,0.1833,0.2000
19,-0.2917,0.2746,0.2297,0.2400
20,-0.1782,0.3509,0.2913,0.3200
21,0.0737,0.4132,0.3400,0.3400
22,0.0521,0.4436,0.3676,0.3600
23,0.1153,0.4702,0.3880,0.3800
24,0.1041,0.4932,0.4144,0.4000
25,0.0576,0.5082,0.4304,0.4200
26,0.0799,0.4980,0.4241,0.4400
27,0.1562,0.5124,0.4399,0.4400
28,0.1500,0.4953,0.4239,0.4200
29,0.0713,0.4580,0.3997,0.4200
30,0.0246,0.4644,0.4098,0.4200
31,0.0500,0.4878,0.4260,0.4200
32,0.1864,0.5434,0.4637,0.4800
